#mGo	mLSP	Total	TotGenW	CountsSMS	GenWeightSMS
1900	900	32362718	32362718	1817	1817.000
1000	0	32362718	32362718	21078	21078.000
1750	400	32362718	32362718	1939	1939.000
1950	1500	32362718	32362718	3823	3823.000
1200	0	32362718	32362718	10135	10135.000
1050	650	32362718	32362718	20094	20094.000
1200	600	32362718	32362718	11044	11044.000
1700	1050	32362718	32362718	3559	3559.000
1750	700	32362718	32362718	3061	3061.000
1650	300	32362718	32362718	2951	2951.000
1900	800	32362718	32362718	1121	1121.000
1700	100	32362718	32362718	3024	3024.000
1550	550	32362718	32362718	2592	2592.000
800	550	32362718	32362718	19186	19186.000
800	400	32362718	32362718	19254	19254.000
1800	850	32362718	32362718	2785	2785.000
800	100	32362718	32362718	22229	22229.000
1850	400	32362718	32362718	3861	3861.000
1600	1000	32362718	32362718	2629	2629.000
1600	700	32362718	32362718	2256	2256.000
1950	1100	32362718	32362718	1641	1641.000
1400	1000	32362718	32362718	3443	3443.000
1550	1200	32362718	32362718	2474	2474.000
1800	1550	32362718	32362718	2441	2441.000
1400	400	32362718	32362718	2387	2387.000
1950	1250	32362718	32362718	2294	2294.000
1950	200	32362718	32362718	2024	2024.000
1700	800	32362718	32362718	4701	4701.000
1750	1400	32362718	32362718	3246	3246.000
2000	1600	32362718	32362718	4391	4391.000
1700	1000	32362718	32362718	2774	2774.000
1250	800	32362718	32362718	5771	5771.000
1200	500	32362718	32362718	10840	10840.000
1900	700	32362718	32362718	3389	3389.000
1700	1150	32362718	32362718	2360	2360.000
1550	950	32362718	32362718	3283	3283.000
1300	500	32362718	32362718	5476	5476.000
1450	100	32362718	32362718	1574	1574.000
1750	500	32362718	32362718	2973	2973.000
1450	400	32362718	32362718	2386	2386.000
1850	1250	32362718	32362718	3332	3332.000
700	200	32362718	32362718	19546	19546.000
2000	1200	32362718	32362718	2349	2349.000
1000	300	32362718	32362718	24278	24278.000
1650	750	32362718	32362718	4702	4702.000
1550	1100	32362718	32362718	2031	2031.000
1600	1200	32362718	32362718	2473	2473.000
1750	1500	32362718	32362718	3033	3033.000
1050	600	32362718	32362718	22354	22354.000
1750	1250	32362718	32362718	2647	2647.000
1200	650	32362718	32362718	8543	8543.000
850	450	32362718	32362718	23543	23543.000
850	600	32362718	32362718	23536	23536.000
1250	350	32362718	32362718	7937	7937.000
650	300	32362718	32362718	32369	32369.000
1700	300	32362718	32362718	3617	3617.000
1650	700	32362718	32362718	2908	2908.000
1150	600	32362718	32362718	12442	12442.000
700	300	32362718	32362718	22667	22667.000
1500	550	32362718	32362718	3415	3415.000
1100	0	32362718	32362718	22673	22673.000
1700	1350	32362718	32362718	1494	1494.000
1550	850	32362718	32362718	2687	2687.000
1400	1050	32362718	32362718	2782	2782.000
1950	950	32362718	32362718	3654	3654.000
1400	750	32362718	32362718	2827	2827.000
1100	350	32362718	32362718	21767	21767.000
1850	1350	32362718	32362718	2881	2881.000
1800	900	32362718	32362718	2796	2796.000
700	350	32362718	32362718	23179	23179.000
1150	750	32362718	32362718	13737	13737.000
1800	0	32362718	32362718	3059	3059.000
1250	500	32362718	32362718	7831	7831.000
800	300	32362718	32362718	22496	22496.000
1700	1250	32362718	32362718	2736	2736.000
1000	500	32362718	32362718	20920	20920.000
1050	750	32362718	32362718	21751	21751.000
1800	1250	32362718	32362718	2223	2223.000
1900	1400	32362718	32362718	1315	1315.000
1150	700	32362718	32362718	11588	11588.000
1800	950	32362718	32362718	2157	2157.000
2000	1450	32362718	32362718	3716	3716.000
1750	1050	32362718	32362718	3911	3911.000
1350	350	32362718	32362718	4375	4375.000
1300	650	32362718	32362718	6447	6447.000
1100	400	32362718	32362718	19770	19770.000
1650	1000	32362718	32362718	2304	2304.000
1800	1050	32362718	32362718	2818	2818.000
1800	400	32362718	32362718	2218	2218.000
750	300	32362718	32362718	20843	20843.000
900	300	32362718	32362718	20869	20869.000
1350	300	32362718	32362718	4560	4560.000
1650	950	32362718	32362718	2740	2740.000
1000	650	32362718	32362718	21171	21171.000
1800	500	32362718	32362718	3024	3024.000
2000	400	32362718	32362718	3205	3205.000
1400	1175	32362718	32362718	3327	3327.000
700	0	32362718	32362718	19216	19216.000
1400	950	32362718	32362718	3325	3325.000
1750	0	32362718	32362718	3982	3982.000
1350	1000	32362718	32362718	3184	3184.000
1550	700	32362718	32362718	2964	2964.000
1200	400	32362718	32362718	8917	8917.000
1850	1600	32362718	32362718	2430	2430.000
1750	950	32362718	32362718	4566	4566.000
1850	1000	32362718	32362718	1966	1966.000
2000	800	32362718	32362718	4626	4626.000
800	575	32362718	32362718	19887	19887.000
1850	1450	32362718	32362718	3157	3157.000
1100	500	32362718	32362718	17652	17652.000
1700	750	32362718	32362718	2331	2331.000
1250	0	32362718	32362718	5807	5807.000
1250	600	32362718	32362718	7887	7887.000
1500	1050	32362718	32362718	3090	3090.000
1450	450	32362718	32362718	2188	2188.000
1350	550	32362718	32362718	5647	5647.000
2000	1250	32362718	32362718	905	905.000
1300	1075	32362718	32362718	6325	6325.000
1550	100	32362718	32362718	4037	4037.000
1000	550	32362718	32362718	23072	23072.000
1800	600	32362718	32362718	3097	3097.000
1700	1450	32362718	32362718	3122	3122.000
1900	1600	32362718	32362718	2481	2481.000
1800	1500	32362718	32362718	2608	2608.000
1550	600	32362718	32362718	1188	1188.000
1050	350	32362718	32362718	20072	20072.000
1250	750	32362718	32362718	9225	9225.000
850	500	32362718	32362718	20104	20104.000
600	0	32362718	32362718	54863	54863.000
1850	500	32362718	32362718	1739	1739.000
1800	1150	32362718	32362718	1698	1698.000
1050	800	32362718	32362718	22116	22116.000
1850	950	32362718	32362718	3094	3094.000
1750	800	32362718	32362718	1532	1532.000
1400	700	32362718	32362718	2333	2333.000
1200	200	32362718	32362718	9997	9997.000
1600	850	32362718	32362718	1636	1636.000
1400	100	32362718	32362718	2387	2387.000
1350	500	32362718	32362718	5991	5991.000
800	0	32362718	32362718	22975	22975.000
2000	500	32362718	32362718	2040	2040.000
1900	1500	32362718	32362718	3150	3150.000
1450	700	32362718	32362718	2824	2824.000
1950	1600	32362718	32362718	2708	2708.000
1450	1000	32362718	32362718	3004	3004.000
1500	100	32362718	32362718	2189	2189.000
1300	950	32362718	32362718	5499	5499.000
1750	1100	32362718	32362718	1961	1961.000
1250	1025	32362718	32362718	8666	8666.000
1500	1000	32362718	32362718	3271	3271.000
1600	1375	32362718	32362718	2885	2885.000
1100	650	32362718	32362718	20380	20380.000
1650	650	32362718	32362718	2759	2759.000
1100	200	32362718	32362718	20751	20751.000
1350	900	32362718	32362718	5309	5309.000
1950	1150	32362718	32362718	1694	1694.000
1750	900	32362718	32362718	3620	3620.000
1400	900	32362718	32362718	2232	2232.000
1400	850	32362718	32362718	1795	1795.000
1350	100	32362718	32362718	3976	3976.000
1750	100	32362718	32362718	1471	1471.000
1200	350	32362718	32362718	9774	9774.000
1300	0	32362718	32362718	5622	5622.000
1950	300	32362718	32362718	1586	1586.000
1950	1200	32362718	32362718	2030	2030.000
1800	700	32362718	32362718	3023	3023.000
1650	200	32362718	32362718	3805	3805.000
900	0	32362718	32362718	20706	20706.000
900	100	32362718	32362718	24765	24765.000
1650	1100	32362718	32362718	2491	2491.000
1250	1000	32362718	32362718	8883	8883.000
2000	1000	32362718	32362718	4393	4393.000
1850	1200	32362718	32362718	3715	3715.000
1700	500	32362718	32362718	2342	2342.000
1100	700	32362718	32362718	19901	19901.000
650	350	32362718	32362718	30016	30016.000
1100	750	32362718	32362718	18920	18920.000
1850	0	32362718	32362718	4375	4375.000
2000	100	32362718	32362718	3505	3505.000
1650	1050	32362718	32362718	4181	4181.000
1900	950	32362718	32362718	2853	2853.000
1000	350	32362718	32362718	23260	23260.000
1800	1575	32362718	32362718	3695	3695.000
1400	300	32362718	32362718	3566	3566.000
